37th Early Bird Open Mens 5000 Meters HS Open 5K
Thu Aug 29 2024
https://www.athletic.net/CrossCountry/meet/235827/results/943367
The Skyline team performed admirably at the 37th Early Bird Open, securing 7th place overall with a team score of 186. Notable individual performances include several athletes who achieved personal records (PRs). Matthew Guikema led the team with a time of 17:35.10, followed closely by Nicholas Yuan at 17:44.40. Zeke Lafferty, Jack Robichaud, and Gustaf Finn rounded out the top five for Skyline, contributing to the team's tight spread between runners. Other athletes who achieved PRs include Oskar MacArthur (18:37.50), Grayson Crooks (19:37.10), Juan Luis Llanes (19:48.00), and Paxton Alicandro (21:13.00). This race showcased the team's strong depth and improvement as they continue the season.


Place,Team,Score
1,Livonia Churchill,95
2,Ann Arbor Pioneer,126
3,White Lake Lakeland,127
4,Plymouth,134
5,Ann Arbor Huron,164
6,Romeo,186
7,Ann Arbor Skyline,244
8,Grand Blanc,247
9,Mason,280
10,South Lyon,291
11,South Lyon East,318
12,Fenton,327
13,Fraser,346
14,Whitmore Lake,467
15,Waterford Kettering,477
16,North Farmington,504
17,Ypsilanti Community,546
18,Waterford Mott,551

Place,Grade,Name,Athlete Link,Time,Team,Team Link,Profile Pic
1.,11,Beckett Crooks,https://www.athletic.net/athlete/21198004/cross-country,16:11.20,Ann Arbor Pioneer,https://www.athletic.net/athlete/21198004/cross-country,21198004.jpg
2.,12,Alex Doneth,https://www.athletic.net/athlete/14078430/cross-country,16:29.10,Mason,https://www.athletic.net/athlete/14078430/cross-country,14078430.jpg
3.,12,Chase Wolters,https://www.athletic.net/athlete/18779770/cross-country,16:30.00,Livonia Churchill,https://www.athletic.net/athlete/18779770/cross-country,18779770.jpg
4.,12,Joseph Rohmfeld,https://www.athletic.net/athlete/18779752/cross-country,16:35.20,Livonia Churchill,https://www.athletic.net/athlete/18779752/cross-country,18779752.jpg
5.,12,Malcolm Speigle,https://www.athletic.net/athlete/18779754/cross-country,16:41.40,Livonia Churchill,https://www.athletic.net/athlete/18779754/cross-country,18779754.jpg
6.,12,Jack Chadwick,https://www.athletic.net/athlete/18775437/cross-country,16:43.80,Plymouth,https://www.athletic.net/athlete/18775437/cross-country,18775437.jpg
7.,12,Walker Brose,https://www.athletic.net/athlete/18801346/cross-country,16:50.10,Ann Arbor Huron,https://www.athletic.net/athlete/18801346/cross-country,18801346.jpg
8.,11,Lucas LaPointe,https://www.athletic.net/athlete/21138579/cross-country,16:51.80,Plymouth,https://www.athletic.net/athlete/21138579/cross-country,21138579.jpg
9.,11,Landen Livingston,https://www.athletic.net/athlete/16925888/cross-country,16:58.50,Whitmore Lake,https://www.athletic.net/athlete/16925888/cross-country,16925888.jpg
10.,9,Gavin Katic,https://www.athletic.net/athlete/21615276/cross-country,17:01.50,Fenton,https://www.athletic.net/athlete/21615276/cross-country,21615276.jpg
