56th Holly-Duane Raffin Festival of Races Mens 5000 Meters D1 Boys
Sat Sep 14 2024
https://www.athletic.net/CrossCountry/meet/236072/results/944167
The Skyline men's cross country team finished 12th with a total score of 309. Leading the team was Nicholas Yuan, who posted a time of 17:31.6, followed closely by Jack Robichaud (17:43.1) and Enshu Kuan (17:44.4). Bruno Cifaldi (17:57.2) and Kyle Krasan (18:01.8) rounded out the top five, showcasing consistent performances across the board. The team demonstrated strong efforts in a competitive field, keeping a tight spread among the top runners and building momentum for the rest of the season.


Place,Team,Score
1,Holly,79
2,Canton,133
3,Midland,145
4,Oxford,148
5,Plymouth,169
6,Salem,201
7,Lake Orion,213
8,Troy,215
9,Howell,218
10,Dexter,243
11,Davison,293
12,Midland Dow,309
13,Ann Arbor Skyline,349
14,Detroit Catholic Central,353
15,Utica Eisenhower,358
16,Romeo,431
17,Rochester Adams,437
18,Hartland,460
19,New Baltimore Anchor Bay,472
20,Utica Ford,483
21,Livonia Stevenson,508
22,Grand Blanc,552
23,Clinton Twp. Chippewa Valley,564
24,Troy Athens,680

Place,Grade,Name,Athlete Link,Time,Team,Team Link,Profile Pic
1.,10,Jack MacGregor,https://www.athletic.net/athlete/17456114/cross-country,15:41.2,Howell,https://www.athletic.net/athlete/17456114/cross-country,17456114.jpg
2.,11,Aiden Pengelly,https://www.athletic.net/athlete/21144396/cross-country,15:45.8,Canton,https://www.athletic.net/athlete/21144396/cross-country,21144396.jpg
3.,12,Kian Schneeweis,https://www.athletic.net/athlete/19825394/cross-country,15:56.6,Troy,https://www.athletic.net/athlete/19825394/cross-country,19825394.jpg
4.,12,Alexander McArthur,https://www.athletic.net/athlete/22186133/cross-country,16:03.0,Oxford,https://www.athletic.net/athlete/22186133/cross-country,22186133.jpg
5.,12,Julian Linebaugh,https://www.athletic.net/athlete/17349252/cross-country,16:08.7,Dexter,https://www.athletic.net/athlete/17349252/cross-country,17349252.jpg
6.,12,James Cusick,https://www.athletic.net/athlete/15806800/cross-country,16:14.1,Oxford,https://www.athletic.net/athlete/15806800/cross-country,15806800.jpg
7.,11,Max Houvener,https://www.athletic.net/athlete/18332974/cross-country,16:23.5,Lake Orion,https://www.athletic.net/athlete/18332974/cross-country,18332974.jpg
8.,12,Lucas Wood,https://www.athletic.net/athlete/14154304/cross-country,16:23.8,Howell,https://www.athletic.net/athlete/14154304/cross-country,14154304.jpg
9.,11,Lucas LaPointe,https://www.athletic.net/athlete/21138579/cross-country,16:29.9,Plymouth,https://www.athletic.net/athlete/21138579/cross-country,21138579.jpg
10.,12,Caleb Snyder,https://www.athletic.net/athlete/15988508/cross-country,16:33.6,Dexter,https://www.athletic.net/athlete/15988508/cross-country,15988508.jpg
11.,11,Andrew Worsley,https://www.athletic.net/athlete/15769384/cross-country,16:41.0,Midland,https://www.athletic.net/athlete/15769384/cross-country,15769384.jpg
12.,12,Clark Madden,https://www.athletic.net/athlete/18772183/cross-country,16:45.1,Canton,https://www.athletic.net/athlete/18772183/cross-country,18772183.jpg
13.,11,Steven Dusseau,https://www.athletic.net/athlete/21144448/cross-country,16:45.4,Canton,https://www.athletic.net/athlete/21144448/cross-country,21144448.jpg
14.,12,Ben Clark,https://www.athletic.net/athlete/18772185/cross-country,16:46.4,Canton,https://www.athletic.net/athlete/18772185/cross-country,18772185.jpg
15.,12,Ben Mussen,https://www.athletic.net/athlete/18775451/cross-country,16:48.9,Plymouth,https://www.athletic.net/athlete/18775451/cross-country,18775451.jpg
16.,12,Jack Chadwick,https://www.athletic.net/athlete/18775437/cross-country,16:50.7,Plymouth,https://www.athletic.net/athlete/18775437/cross-country,18775437.jpg
17.,11,James Brickel,https://www.athletic.net/athlete/15694990/cross-country,16:52.2,Romeo,https://www.athletic.net/athlete/15694990/cross-country,15694990.jpg
18.,11,Logan Bellinger,https://www.athletic.net/athlete/15769367/cross-country,16:54.0,Midland,https://www.athletic.net/athlete/15769367/cross-country,15769367.jpg
19.,12,Raymond Lucero II,https://www.athletic.net/athlete/18901558/cross-country,16:55.4,Lake Orion,https://www.athletic.net/athlete/18901558/cross-country,18901558.jpg
20.,10,Jack Hanner,https://www.athletic.net/athlete/23576999/cross-country,16:56.8,Salem,https://www.athletic.net/athlete/23576999/cross-country,23576999.jpg
21.,10,Austin Mercado,https://www.athletic.net/athlete/23576998/cross-country,16:57.5,Salem,https://www.athletic.net/athlete/23576998/cross-country,23576998.jpg
22.,11,Anthony Frei,https://www.athletic.net/athlete/26406903/cross-country,17:00.0,Utica Eisenhower,https://www.athletic.net/athlete/26406903/cross-country,26406903.jpg
23.,12,Drake Wallace,https://www.athletic.net/athlete/17378456/cross-country,17:01.3,Howell,https://www.athletic.net/athlete/17378456/cross-country,17378456.jpg
24.,10,Cameron Cochran,https://www.athletic.net/athlete/23431871/cross-country,17:01.7,Midland,https://www.athletic.net/athlete/23431871/cross-country,23431871.jpg
25.,12,Luke Meyer,https://www.athletic.net/athlete/20926825/cross-country,17:07.2,Davison,https://www.athletic.net/athlete/20926825/cross-country,20926825.jpg
26.,12,Colden Gray,https://www.athletic.net/athlete/24035381/cross-country,17:17.1,Utica Eisenhower,https://www.athletic.net/athlete/24035381/cross-country,24035381.jpg
27.,12,Isaac Demetter,https://www.athletic.net/athlete/21417160/cross-country,17:18.2,Salem,https://www.athletic.net/athlete/21417160/cross-country,21417160.jpg
28.,10,Henry Witt,https://www.athletic.net/athlete/23627781/cross-country,17:22.5,Troy,https://www.athletic.net/athlete/23627781/cross-country,23627781.jpg
29.,12,Leyton Minuth,https://www.athletic.net/athlete/23561896/cross-country,17:22.6,Midland Dow,https://www.athletic.net/athlete/23561896/cross-country,23561896.jpg
30.,11,Eric DeWaele,https://www.athletic.net/athlete/21140710/cross-country,17:23.2,Clinton Twp. Chippewa Valley,https://www.athletic.net/athlete/21140710/cross-country,21140710.jpg
31.,11,Cayden Canham,https://www.athletic.net/athlete/15806738/cross-country,17:23.2,Oxford,https://www.athletic.net/athlete/15806738/cross-country,15806738.jpg
32.,12,Sam Scott,https://www.athletic.net/athlete/14952246/cross-country,17:23.5,Midland Dow,https://www.athletic.net/athlete/14952246/cross-country,14952246.jpg
33.,11,Braden Shiposh,https://www.athletic.net/athlete/15872256/cross-country,17:24.2,Hartland,https://www.athletic.net/athlete/15872256/cross-country,15872256.jpg
34.,12,Spencer Porritt,https://www.athletic.net/athlete/13996782/cross-country,17:24.5,Midland,https://www.athletic.net/athlete/13996782/cross-country,13996782.jpg
35.,11,Adrian Clarke,https://www.athletic.net/athlete/24827125/cross-country,17:24.7,Plymouth,https://www.athletic.net/athlete/24827125/cross-country,24827125.jpg
36.,11,Noah Linstrom,https://www.athletic.net/athlete/17259362/cross-country,17:26.2,Davison,https://www.athletic.net/athlete/17259362/cross-country,17259362.jpg
37.,10,Levi Mayer,https://www.athletic.net/athlete/20121542/cross-country,17:28.0,Davison,https://www.athletic.net/athlete/20121542/cross-country,20121542.jpg
38.,12,Cole Triffle,https://www.athletic.net/athlete/18845864/cross-country,17:28.5,Canton,https://www.athletic.net/athlete/18845864/cross-country,18845864.jpg
39.,12,Thomas Watson,https://www.athletic.net/athlete/18799728/cross-country,17:29.6,Detroit Catholic Central,https://www.athletic.net/athlete/18799728/cross-country,18799728.jpg
40.,11,Isaac Clark,https://www.athletic.net/athlete/21227983/cross-country,17:30.2,Troy,https://www.athletic.net/athlete/21227983/cross-country,21227983.jpg
41.,10,Zach Shaffer,https://www.athletic.net/athlete/23561778/cross-country,17:30.8,Utica Ford,https://www.athletic.net/athlete/23561778/cross-country,23561778.jpg
42.,12,Andy Castro,https://www.athletic.net/athlete/18846205/cross-country,17:31.1,Midland Dow,https://www.athletic.net/athlete/18846205/cross-country,18846205.jpg
43.,10,Nicholas Yuan,https://www.athletic.net/athlete/21615273/cross-country,17:31.6,Ann Arbor Skyline,https://www.athletic.net/athlete/21615273/cross-country,21615273.jpg
44.,12,Aaron Messing,https://www.athletic.net/athlete/18794201/cross-country,17:32.0,Livonia Stevenson,https://www.athletic.net/athlete/18794201/cross-country,18794201.jpg
45.,12,Greg Vogt,https://www.athletic.net/athlete/19876090/cross-country,17:32.3,New Baltimore Anchor Bay,https://www.athletic.net/athlete/19876090/cross-country,19876090.jpg
46.,12,Landon Ferren,https://www.athletic.net/athlete/14091304/cross-country,17:32.8,Midland,https://www.athletic.net/athlete/14091304/cross-country,14091304.jpg
47.,12,Blake Peardon,https://www.athletic.net/athlete/18901565/cross-country,17:33.4,Lake Orion,https://www.athletic.net/athlete/18901565/cross-country,18901565.jpg
48.,12,Jack Dysarz,https://www.athletic.net/athlete/14083247/cross-country,17:33.4,Oxford,https://www.athletic.net/athlete/14083247/cross-country,14083247.jpg
49.,11,Jaden Ding,https://www.athletic.net/athlete/21103026/cross-country,17:33.6,Salem,https://www.athletic.net/athlete/21103026/cross-country,21103026.jpg
50.,11,Gavin Tisch,https://www.athletic.net/athlete/21152046/cross-country,17:34.3,Detroit Catholic Central,https://www.athletic.net/athlete/21152046/cross-country,21152046.jpg
51.,10,Coen Hill,https://www.athletic.net/athlete/21133037/cross-country,17:35.6,Dexter,https://www.athletic.net/athlete/21133037/cross-country,21133037.jpg
52.,11,Max Frentner,https://www.athletic.net/athlete/21103027/cross-country,17:37.1,Salem,https://www.athletic.net/athlete/21103027/cross-country,21103027.jpg
53.,12,Tanner Smith,https://www.athletic.net/athlete/14016494/cross-country,17:37.5,Davison,https://www.athletic.net/athlete/14016494/cross-country,14016494.jpg
54.,10,Colin Blachford,https://www.athletic.net/athlete/23611354/cross-country,17:38.6,Troy Athens,https://www.athletic.net/athlete/23611354/cross-country,23611354.jpg
55.,11,Aaron Osterman,https://www.athletic.net/athlete/21132445/cross-country,17:38.7,New Baltimore Anchor Bay,https://www.athletic.net/athlete/21132445/cross-country,21132445.jpg
56.,11,Carter Jacobsen,https://www.athletic.net/athlete/15806750/cross-country,17:41.0,Oxford,https://www.athletic.net/athlete/15806750/cross-country,15806750.jpg
57.,9,Ricardo Guajardo,https://www.athletic.net/athlete/21377192/cross-country,17:41.2,Lake Orion,https://www.athletic.net/athlete/21377192/cross-country,21377192.jpg
58.,11,Dean Gallucci,https://www.athletic.net/athlete/21126566/cross-country,17:41.8,Utica Ford,https://www.athletic.net/athlete/21126566/cross-country,21126566.jpg
