Bret Clements Bath Invitational Womens 5000 Meters J.V.
Sat Sep 7 2024
https://www.athletic.net/CrossCountry/meet/236875/results/947086
Ann Arbor Skyline’s JV girls placed 6th out of 14 teams. Leading the team was Katie Yuan, who finished 12th with a season record (SR) of 22:39.10. Grace Hopkins followed closely in 16th with a time of 23:01.54 (SR), while Julianna Heung secured a personal record (PR) with her 24:06.37 finish. Other notable Skyline performances included Ruthie Scott (24:20.80 PR), Calla Sopoci (24:30.36 PR), and Alexandra Wren (24:33.26 SR). Several Skyline runners achieved personal records, contributing to a solid team performance.


Place,Team,Score
1,Chuck Block Timing,15
2,Northville,76
3,DeWitt,110
4,White Lake Lakeland,114
5,Ann Arbor Fr Gabriel Richard,131
6,Okemos,133
7,Ann Arbor Skyline,133
8,East Grand Rapids,257
9,Orchard Lake St. Mary's,271
10,Marian (Bloomfield Hills),328
11,East Lansing,339
12,Linden,367
13,Cedar Springs,384
14,Lansing Everett,411

Place,Grade,Name,Athlete Link,Time,Team,Team Link,Profile Pic
1.,10,Mia Carson,https://www.athletic.net/athlete/23575267/cross-country,21:23.16,Northville,https://www.athletic.net/athlete/23575267/cross-country,23575267.jpg
2.,9,Avay Yaldou,https://www.athletic.net/athlete/19104721/cross-country,21:30.42,Northville,https://www.athletic.net/athlete/19104721/cross-country,19104721.jpg
3.,11,Annabelle Beloiu,https://www.athletic.net/athlete/15866543/cross-country,21:33.66,Northville,https://www.athletic.net/athlete/15866543/cross-country,15866543.jpg
4.,9,Priya Sastry,https://www.athletic.net/athlete/23628373/cross-country,21:35.37,Northville,https://www.athletic.net/athlete/23628373/cross-country,23628373.jpg
5.,10,Lauren Watkins,https://www.athletic.net/athlete/18553186/cross-country,21:38.21,Northville,https://www.athletic.net/athlete/18553186/cross-country,18553186.jpg
6.,9,Sophia Jiang,https://www.athletic.net/athlete/19107742/cross-country,22:04.48,Northville,https://www.athletic.net/athlete/19107742/cross-country,19107742.jpg
7.,9,Naya Abu Yasin,https://www.athletic.net/athlete/19100853/cross-country,22:12.60,Northville,https://www.athletic.net/athlete/19100853/cross-country,19100853.jpg
8.,10,Julia Crowe,https://www.athletic.net/athlete/18566889/cross-country,22:15.69,Northville,https://www.athletic.net/athlete/18566889/cross-country,18566889.jpg
9.,10,Natalia Hurd,https://www.athletic.net/athlete/18567005/cross-country,22:20.47,Northville,https://www.athletic.net/athlete/18567005/cross-country,18567005.jpg
10.,9,Natalie Hayes,https://www.athletic.net/athlete/25797920/cross-country,22:31.91,DeWitt,https://www.athletic.net/athlete/25797920/cross-country,25797920.jpg
11.,11,Emily Agnew,https://www.athletic.net/athlete/21045969/cross-country,22:32.07,DeWitt,https://www.athletic.net/athlete/21045969/cross-country,21045969.jpg
12.,10,Katie Yuan,https://www.athletic.net/athlete/23349724/cross-country,22:39.10,Ann Arbor Skyline,https://www.athletic.net/athlete/23349724/cross-country,23349724.jpg
13.,12,Jemma Doublestein,https://www.athletic.net/athlete/14018175/cross-country,22:41.78,East Grand Rapids,https://www.athletic.net/athlete/14018175/cross-country,14018175.jpg
14.,9,Ansley Canetta,https://www.athletic.net/athlete/26375232/cross-country,22:42.29,Ann Arbor Fr Gabriel Richard,https://www.athletic.net/athlete/26375232/cross-country,26375232.jpg
15.,9,Gracie Grzymokwski,https://www.athletic.net/athlete/25741523/cross-country,23:00.54,White Lake Lakeland,https://www.athletic.net/athlete/25741523/cross-country,25741523.jpg
16.,11,Grace Hopkins,https://www.athletic.net/athlete/21142901/cross-country,23:01.54,Ann Arbor Skyline,https://www.athletic.net/athlete/21142901/cross-country,21142901.jpg
17.,10,Maya Demshur,https://www.athletic.net/athlete/18930454/cross-country,23:08.62,Okemos,https://www.athletic.net/athlete/18930454/cross-country,18930454.jpg
18.,9,Emma Cook,https://www.athletic.net/athlete/22656897/cross-country,23:13.27,DeWitt,https://www.athletic.net/athlete/22656897/cross-country,22656897.jpg
19.,11,Taryn Marco,https://www.athletic.net/athlete/21189323/cross-country,23:14.71,White Lake Lakeland,https://www.athletic.net/athlete/21189323/cross-country,21189323.jpg
