SEC Jamboree #1 Womens 5000 Meters Junior Varsity
Tue Sep 10 2024
https://www.athletic.net/CrossCountry/meet/238311/results/952329
Ann Arbor Skyline's JV girls finished 4th overall with 84 points. Leading the charge was Violet Olley (24:37), followed closely by Adrienne Stewart (24:40), Julianna Heung (25:21), and Calla Sopoci (25:22). Ruthie Scott (25:31) rounded out the top five, with strong efforts from Alexandra Wren (25:33) and Elsa Wenzlaff (25:36). The team showed solid depth across the board. PRs: Violet Olley (24:37), Calla Sopoci (25:22), and Livi Byers (33:54).


Place,Team,Score
1,Ypsilanti Lincoln,22
2,Saline,73
3,Dexter,81
4,Ann Arbor Pioneer,84
5,Ann Arbor Skyline,134
6,Ann Arbor Huron,147
7,Temperance Bedford,213

Place,Grade,Name,Athlete Link,Time,Team,Team Link,Profile Pic
1.,11,Riley Provost,https://www.athletic.net/athlete/14164024/cross-country,23:15.00,Saline,https://www.athletic.net/athlete/14164024/cross-country,14164024.jpg
2.,9,Claire Steinbrecher,https://www.athletic.net/athlete/21411167/cross-country,23:18.50,Dexter,https://www.athletic.net/athlete/21411167/cross-country,21411167.jpg
3.,11,Mahalia Staton,https://www.athletic.net/athlete/22262892/cross-country,23:20.50,Saline,https://www.athletic.net/athlete/22262892/cross-country,22262892.jpg
4.,10,Julianna Richards,https://www.athletic.net/athlete/19005084/cross-country,23:32.50,Dexter,https://www.athletic.net/athlete/19005084/cross-country,19005084.jpg
5.,12,Elizabeth (Lizzie) Thibeault,https://www.athletic.net/athlete/18817762/cross-country,23:34.00,Saline,https://www.athletic.net/athlete/18817762/cross-country,18817762.jpg
6.,12,Carolyn Schwartz,https://www.athletic.net/athlete/19850814/cross-country,23:38.10,Saline,https://www.athletic.net/athlete/19850814/cross-country,19850814.jpg
7.,11,Kennedy Lange,https://www.athletic.net/athlete/17985470/cross-country,23:38.80,Saline,https://www.athletic.net/athlete/17985470/cross-country,17985470.jpg
9.,12,Jasmine Boggy,https://www.athletic.net/athlete/18772978/cross-country,23:56.00,Ann Arbor Pioneer,https://www.athletic.net/athlete/18772978/cross-country,18772978.jpg
10.,11,Jillian Hayes,https://www.athletic.net/athlete/15874241/cross-country,23:59.10,Saline,https://www.athletic.net/athlete/15874241/cross-country,15874241.jpg
11.,10,Mae Barbaro,https://www.athletic.net/athlete/19005067/cross-country,24:11.50,Dexter,https://www.athletic.net/athlete/19005067/cross-country,19005067.jpg
12.,12,Allysa Kelly,https://www.athletic.net/athlete/15266172/cross-country,24:12.90,Temperance Bedford,https://www.athletic.net/athlete/15266172/cross-country,15266172.jpg
13.,12,Kylie Warner,https://www.athletic.net/athlete/18817764/cross-country,24:16.80,Saline,https://www.athletic.net/athlete/18817764/cross-country,18817764.jpg
14.,12,Luciana Sweeney,https://www.athletic.net/athlete/23594657/cross-country,24:17.00,Saline,https://www.athletic.net/athlete/23594657/cross-country,23594657.jpg
15.,10,Isabel McEwen,https://www.athletic.net/athlete/23553117/cross-country,24:24.80,Ann Arbor Pioneer,https://www.athletic.net/athlete/23553117/cross-country,23553117.jpg
16.,9,Deborah Song,https://www.athletic.net/athlete/23349764/cross-country,24:30.80,Ann Arbor Huron,https://www.athletic.net/athlete/23349764/cross-country,23349764.jpg
17.,12,Avanti Ganesan,https://www.athletic.net/athlete/18772987/cross-country,24:35.60,Ann Arbor Pioneer,https://www.athletic.net/athlete/18772987/cross-country,18772987.jpg
18.,10,Mia Washington,https://www.athletic.net/athlete/23594662/cross-country,24:37.00,Saline,https://www.athletic.net/athlete/23594662/cross-country,23594662.jpg
19.,9,Violet Olley,https://www.athletic.net/athlete/26328683/cross-country,24:37.10,Ann Arbor Skyline,https://www.athletic.net/athlete/26328683/cross-country,26328683.jpg
20.,11,Adrienne Stewart,https://www.athletic.net/athlete/21142907/cross-country,24:40.60,Ann Arbor Skyline,https://www.athletic.net/athlete/21142907/cross-country,21142907.jpg
21.,11,Hannah Gritzmaker,https://www.athletic.net/athlete/22262878/cross-country,24:52.20,Saline,https://www.athletic.net/athlete/22262878/cross-country,22262878.jpg
22.,12,Rachel Sprauer,https://www.athletic.net/athlete/18772994/cross-country,24:57.70,Ann Arbor Pioneer,https://www.athletic.net/athlete/18772994/cross-country,18772994.jpg
23.,9,Marissa Salazar,https://www.athletic.net/athlete/26372414/cross-country,25:07.00,Saline,https://www.athletic.net/athlete/26372414/cross-country,26372414.jpg
24.,11,Ruth (Ruthie) Bonfiglio,https://www.athletic.net/athlete/17985466/cross-country,25:16.70,Saline,https://www.athletic.net/athlete/17985466/cross-country,17985466.jpg
25.,12,Julianna Heung,https://www.athletic.net/athlete/23687880/cross-country,25:21.20,Ann Arbor Skyline,https://www.athletic.net/athlete/23687880/cross-country,23687880.jpg
26.,9,Calla Sopoci,https://www.athletic.net/athlete/26328689/cross-country,25:22.90,Ann Arbor Skyline,https://www.athletic.net/athlete/26328689/cross-country,26328689.jpg
27.,10,Chloe Tuttle,https://www.athletic.net/athlete/23349769/cross-country,25:24.40,Ann Arbor Huron,https://www.athletic.net/athlete/23349769/cross-country,23349769.jpg
28.,9,Charlotte Kinder,https://www.athletic.net/athlete/26345923/cross-country,25:27.10,Ann Arbor Pioneer,https://www.athletic.net/athlete/26345923/cross-country,26345923.jpg
29.,9,Meenakshi Pradeep,https://www.athletic.net/athlete/23349757/cross-country,25:27.60,Ann Arbor Huron,https://www.athletic.net/athlete/23349757/cross-country,23349757.jpg
30.,11,Hannah Bougher,https://www.athletic.net/athlete/17349269/cross-country,25:29.50,Dexter,https://www.athletic.net/athlete/17349269/cross-country,17349269.jpg
31.,10,Ruthie Scott,https://www.athletic.net/athlete/23349715/cross-country,25:31.00,Ann Arbor Skyline,https://www.athletic.net/athlete/23349715/cross-country,23349715.jpg
32.,12,Alexandra Wren,https://www.athletic.net/athlete/21142908/cross-country,25:33.90,Ann Arbor Skyline,https://www.athletic.net/athlete/21142908/cross-country,21142908.jpg
33.,11,Elsa Wenzlaff,https://www.athletic.net/athlete/22520388/cross-country,25:36.00,Ann Arbor Skyline,https://www.athletic.net/athlete/22520388/cross-country,22520388.jpg
34.,11,Lola Lange,https://www.athletic.net/athlete/22262881/cross-country,25:42.80,Saline,https://www.athletic.net/athlete/22262881/cross-country,22262881.jpg
35.,9,Aubrey Pakulski,https://www.athletic.net/athlete/22786303/cross-country,25:45.60,Temperance Bedford,https://www.athletic.net/athlete/22786303/cross-country,22786303.jpg
36.,10,Claire Chivens,https://www.athletic.net/athlete/23349574/cross-country,25:48.60,Ann Arbor Pioneer,https://www.athletic.net/athlete/23349574/cross-country,23349574.jpg
37.,12,Makenzie Weiher,https://www.athletic.net/athlete/17363120/cross-country,25:50.40,Temperance Bedford,https://www.athletic.net/athlete/17363120/cross-country,17363120.jpg
38.,10,Megan Cabble,https://www.athletic.net/athlete/19005069/cross-country,25:58.60,Dexter,https://www.athletic.net/athlete/19005069/cross-country,19005069.jpg
39.,12,Eliza Farr,https://www.athletic.net/athlete/10633630/cross-country,26:01.70,Saline,https://www.athletic.net/athlete/10633630/cross-country,10633630.jpg
40.,12,Danielle Ransom,https://www.athletic.net/athlete/20023906/cross-country,26:02.10,Ann Arbor Pioneer,https://www.athletic.net/athlete/20023906/cross-country,20023906.jpg
41.,9,Sade Napier,https://www.athletic.net/athlete/12098040/cross-country,26:03.00,Ypsilanti Lincoln,https://www.athletic.net/athlete/12098040/cross-country,12098040.jpg
42.,11,Shyla Smith,https://www.athletic.net/athlete/12399336/cross-country,26:09.70,Saline,https://www.athletic.net/athlete/12399336/cross-country,12399336.jpg
42.,12,Ann Kececi,https://www.athletic.net/athlete/24802381/cross-country,26:14.90,Ann Arbor Skyline,https://www.athletic.net/athlete/24802381/cross-country,24802381.jpg
43.,12,Cassidy McElroy,https://www.athletic.net/athlete/23568922/cross-country,26:34.10,Dexter,https://www.athletic.net/athlete/23568922/cross-country,23568922.jpg
45.,9,Amelia Shirk,https://www.athletic.net/athlete/26366135/cross-country,26:34.40,Ann Arbor Pioneer,https://www.athletic.net/athlete/26366135/cross-country,26366135.jpg
45.,10,Emma Allis,https://www.athletic.net/athlete/23594659/cross-country,26:39.60,Saline,https://www.athletic.net/athlete/23594659/cross-country,23594659.jpg
46.,10,Sylvia Irwin,https://www.athletic.net/athlete/23662277/cross-country,26:46.10,Ann Arbor Huron,https://www.athletic.net/athlete/23662277/cross-country,23662277.jpg
47.,12,Meadow Gomez,https://www.athletic.net/athlete/23502289/cross-country,26:47.00,Temperance Bedford,https://www.athletic.net/athlete/23502289/cross-country,23502289.jpg
49.,11,Kaitlyn Darby,https://www.athletic.net/athlete/18072739/cross-country,26:51.90,Dexter,https://www.athletic.net/athlete/18072739/cross-country,18072739.jpg
49.,11,Nina Beals,https://www.athletic.net/athlete/23564881/cross-country,26:56.30,Ann Arbor Skyline,https://www.athletic.net/athlete/23564881/cross-country,23564881.jpg
50.,10,Addison Wroblewski,https://www.athletic.net/athlete/17368218/cross-country,27:02.10,Pinckney,https://www.athletic.net/athlete/17368218/cross-country,17368218.jpg
51.,12,Hadley Feyen,https://www.athletic.net/athlete/18772986/cross-country,27:15.50,Ann Arbor Pioneer,https://www.athletic.net/athlete/18772986/cross-country,18772986.jpg
53.,10,Beatrice Staunton,https://www.athletic.net/athlete/23662284/cross-country,27:17.90,Ann Arbor Huron,https://www.athletic.net/athlete/23662284/cross-country,23662284.jpg
53.,11,Hayley Hummel,https://www.athletic.net/athlete/26372412/cross-country,27:29.30,Saline,https://www.athletic.net/athlete/26372412/cross-country,26372412.jpg
54.,12,Katelynn Reading,https://www.athletic.net/athlete/18817750/cross-country,27:34.00,Saline,https://www.athletic.net/athlete/18817750/cross-country,18817750.jpg
55.,9,Allie Hoeft,https://www.athletic.net/athlete/21411156/cross-country,27:36.00,Dexter,https://www.athletic.net/athlete/21411156/cross-country,21411156.jpg
57.,11,Claire Oberski,https://www.athletic.net/athlete/22961021/cross-country,27:39.10,Saline,https://www.athletic.net/athlete/22961021/cross-country,22961021.jpg
57.,11,Delaney Niven,https://www.athletic.net/athlete/14164137/cross-country,27:41.20,Saline,https://www.athletic.net/athlete/14164137/cross-country,14164137.jpg
58.,11,Ola Rominski,https://www.athletic.net/athlete/21280254/cross-country,27:54.80,Ann Arbor Pioneer,https://www.athletic.net/athlete/21280254/cross-country,21280254.jpg
59.,9,Rhiannon Reed,https://www.athletic.net/athlete/23349758/cross-country,27:57.90,Ann Arbor Huron,https://www.athletic.net/athlete/23349758/cross-country,23349758.jpg
61.,9,Amy Yang,https://www.athletic.net/athlete/26040452/cross-country,27:59.90,Ann Arbor Huron,https://www.athletic.net/athlete/26040452/cross-country,26040452.jpg
61.,12,Kailyn Austin,https://www.athletic.net/athlete/18817738/cross-country,28:02.70,Saline,https://www.athletic.net/athlete/18817738/cross-country,18817738.jpg
62.,11,Kate Kelleher,https://www.athletic.net/athlete/21128227/cross-country,28:04.50,Ann Arbor Pioneer,https://www.athletic.net/athlete/21128227/cross-country,21128227.jpg
63.,9,Haruka Inada,https://www.athletic.net/athlete/23349741/cross-country,28:10.20,Ann Arbor Huron,https://www.athletic.net/athlete/23349741/cross-country,23349741.jpg
65.,9,Emma Peer,https://www.athletic.net/athlete/18920071/cross-country,28:23.40,Temperance Bedford,https://www.athletic.net/athlete/18920071/cross-country,18920071.jpg
65.,10,Julia Schairbaum,https://www.athletic.net/athlete/26345933/cross-country,28:23.60,Ann Arbor Pioneer,https://www.athletic.net/athlete/26345933/cross-country,26345933.jpg
66.,12,Alia Zahran,https://www.athletic.net/athlete/22415293/cross-country,28:25.20,Ann Arbor Pioneer,https://www.athletic.net/athlete/22415293/cross-country,22415293.jpg
